REPOSITORY ID,REPOSITORY LINK,SAMPLE NUMBER,STUDY TITLE,STUDY LINK,ASSAY TYPE,TECHNOLOGY,COUNTRY,DISEASE,DOID,STUDY DESIGN,BODY SITE,PLATFORM,PARTICIPANT FEATURES,AVERAGE SPOTLENGTH,RUN ID,Sample ID,Sample Name,COLLECTION DATE,LIBRARY LAYOUT,LAT LON,SAMPLE TYPE,ETHNICITY,URBANZATION,REGION,,TARGET AMPLICON,DIET
PRJNA692358,PRJNA692358,115,Gut microbiome of children from Cape Town communities,34354176,amplicon,Illumina,South Africa,,,Cross-sectional,gut,Illumina Miseq,female//CS,401,SRR13442558,SAMN17320864,84,13-02-2019,paired,,stool,,urban,Cape Town,,v4,
PRJNA692358,PRJNA692358,115,Gut microbiome of children from Cape Town communities,34354176,amplicon,Illumina,South Africa,,,Cross-sectional,gut,Illumina Miseq,female//NVD,400,SRR13442559,SAMN17320863,83,06-02-2019,paired,,stool,,urban,Cape Town,,v4,
PRJNA692358,PRJNA692358,115,Gut microbiome of children from Cape Town communities,34354176,amplicon,Illumina,South Africa,,,Cross-sectional,gut,Illumina Miseq,male//NVD,401,SRR13442560,SAMN17320862,82,01-02-2019,paired,,stool,,urban,Cape Town,,v4,
PRJNA692358,PRJNA692358,115,Gut microbiome of children from Cape Town communities,34354176,amplicon,Illumina,South Africa,,,Cross-sectional,gut,Illumina Miseq,female//NVD,401,SRR13442561,SAMN17320861,81,31-01-2019,paired,,stool,,urban,Cape Town,,v4,
PRJNA692358,PRJNA692358,115,Gut microbiome of children from Cape Town communities,34354176,amplicon,Illumina,South Africa,,,Cross-sectional,gut,Illumina Miseq,female//NVD,401,SRR13442562,SAMN17320789,9,07-02-2018,paired,,stool,,urban,Cape Town,,v4,
PRJNA692358,PRJNA692358,115,Gut microbiome of children from Cape Town communities,34354176,amplicon,Illumina,South Africa,,,Cross-sectional,gut,Illumina Miseq,male//NVD,401,SRR13442563,SAMN17320860,80,31-01-2019,paired,,stool,,urban,Cape Town,,v4,
PRJNA692358,PRJNA692358,115,Gut microbiome of children from Cape Town communities,34354176,amplicon,Illumina,South Africa,,,Cross-sectional,gut,Illumina Miseq,male//NVD,401,SRR13442564,SAMN17320859,79,30-01-2019,paired,,stool,,urban,Cape Town,,v4,
PRJNA692358,PRJNA692358,115,Gut microbiome of children from Cape Town communities,34354176,amplicon,Illumina,South Africa,,,Cross-sectional,gut,Illumina Miseq,female//CS,401,SRR13442565,SAMN17320858,78,30-01-2019,paired,,stool,,urban,Cape Town,,v4,
PRJNA692358,PRJNA692358,115,Gut microbiome of children from Cape Town communities,34354176,amplicon,Illumina,South Africa,,,Cross-sectional,gut,Illumina Miseq,female//NVD,401,SRR13442566,SAMN17320857,77,24-01-2019,paired,,stool,,urban,Cape Town,,v4,
PRJNA692358,PRJNA692358,115,Gut microbiome of children from Cape Town communities,34354176,amplicon,Illumina,South Africa,,,Cross-sectional,gut,Illumina Miseq,female//CS,401,SRR13442568,SAMN17320855,75,11-12-2018,paired,,stool,,urban,Cape Town,,v4,
PRJNA692358,PRJNA692358,115,Gut microbiome of children from Cape Town communities,34354176,amplicon,Illumina,South Africa,,,Cross-sectional,gut,Illumina Miseq,male//CS,401,SRR13442569,SAMN17320854,74,22-11-2018,paired,,stool,,urban,Cape Town,,v4,
PRJNA692358,PRJNA692358,115,Gut microbiome of children from Cape Town communities,34354176,amplicon,Illumina,South Africa,,,Cross-sectional,gut,Illumina Miseq,female//NVD,401,SRR13442570,SAMN17320853,73,20-11-2018,paired,,stool,,urban,Cape Town,,v4,
PRJNA692358,PRJNA692358,115,Gut microbiome of children from Cape Town communities,34354176,amplicon,Illumina,South Africa,,,Cross-sectional,gut,Illumina Miseq,male//NVD,401,SRR13442571,SAMN17320852,72,20-11-2018,paired,,stool,,urban,Cape Town,,v4,
PRJNA692358,PRJNA692358,115,Gut microbiome of children from Cape Town communities,34354176,amplicon,Illumina,South Africa,,,Cross-sectional,gut,Illumina Miseq,male//NVD,401,SRR13442572,SAMN17320851,71,14-11-2018,paired,,stool,,urban,Cape Town,,v4,
PRJNA692358,PRJNA692358,115,Gut microbiome of children from Cape Town communities,34354176,amplicon,Illumina,South Africa,,,Cross-sectional,gut,Illumina Miseq,female//NVD,400,SRR13442574,SAMN17320850,70,13-11-2019,paired,,stool,,urban,Cape Town,,v4,
PRJNA692358,PRJNA692358,115,Gut microbiome of children from Cape Town communities,34354176,amplicon,Illumina,South Africa,,,Cross-sectional,gut,Illumina Miseq,female//NVD,401,SRR13442575,SAMN17320849,69,09-11-2019,paired,,stool,,urban,Cape Town,,v4,
PRJNA692358,PRJNA692358,115,Gut microbiome of children from Cape Town communities,34354176,amplicon,Illumina,South Africa,,,Cross-sectional,gut,Illumina Miseq,female//CS,401,SRR13442576,SAMN17320848,68,08-11-2018,paired,,stool,,urban,Cape Town,,v4,
PRJNA692358,PRJNA692358,115,Gut microbiome of children from Cape Town communities,34354176,amplicon,Illumina,South Africa,,,Cross-sectional,gut,Illumina Miseq,male//NVD,401,SRR13442577,SAMN17320847,67,05-11-2018,paired,,stool,,urban,Cape Town,,v4,
PRJNA692358,PRJNA692358,115,Gut microbiome of children from Cape Town communities,34354176,amplicon,Illumina,South Africa,,,Cross-sectional,gut,Illumina Miseq,female//NVD,401,SRR13442578,SAMN17320846,66,02-11-2018,paired,,stool,,urban,Cape Town,,v4,
PRJNA692358,PRJNA692358,115,Gut microbiome of children from Cape Town communities,34354176,amplicon,Illumina,South Africa,,,Cross-sectional,gut,Illumina Miseq,male//NVD,401,SRR13442579,SAMN17320845,65,26-10-2018,paired,,stool,,urban,Cape Town,,v4,
PRJNA692358,PRJNA692358,115,Gut microbiome of children from Cape Town communities,34354176,amplicon,Illumina,South Africa,,,Cross-sectional,gut,Illumina Miseq,male//NVD,401,SRR13442580,SAMN17320844,64,26-10-2018,paired,,stool,,urban,Cape Town,,v4,
PRJNA692358,PRJNA692358,115,Gut microbiome of children from Cape Town communities,34354176,amplicon,Illumina,South Africa,,,Cross-sectional,gut,Illumina Miseq,female//CS,401,SRR13442581,SAMN17320843,63,02-10-2018,paired,,stool,,urban,Cape Town,,v4,
PRJNA692358,PRJNA692358,115,Gut microbiome of children from Cape Town communities,34354176,amplicon,Illumina,South Africa,,,Cross-sectional,gut,Illumina Miseq,female//NVD,401,SRR13442582,SAMN17320842,62,02-10-2018,paired,,stool,,urban,Cape Town,,v4,
PRJNA692358,PRJNA692358,115,Gut microbiome of children from Cape Town communities,34354176,amplicon,Illumina,South Africa,,,Cross-sectional,gut,Illumina Miseq,female//NVD,400,SRR13442583,SAMN17320841,61,30-09-2018,paired,,stool,,urban,Cape Town,,v4,
PRJNA692358,PRJNA692358,115,Gut microbiome of children from Cape Town communities,34354176,amplicon,Illumina,South Africa,,,Cross-sectional,gut,Illumina Miseq,female//NVD,401,SRR13442584,SAMN17320787,7,24-01-2018,paired,,stool,,urban,Cape Town,,v4,
PRJNA692358,PRJNA692358,115,Gut microbiome of children from Cape Town communities,34354176,amplicon,Illumina,South Africa,,,Cross-sectional,gut,Illumina Miseq,female//CS,401,SRR13442585,SAMN17320840,60,14-09-2018,paired,,stool,,urban,Cape Town,,v4,
PRJNA692358,PRJNA692358,115,Gut microbiome of children from Cape Town communities,34354176,amplicon,Illumina,South Africa,,,Cross-sectional,gut,Illumina Miseq,female //,401,SRR13442586,SAMN17320839,59,14-09-2018,paired,,stool,,urban,Cape Town,,v4,
PRJNA692358,PRJNA692358,115,Gut microbiome of children from Cape Town communities,34354176,amplicon,Illumina,South Africa,,,Cross-sectional,gut,Illumina Miseq,female//NVD,400,SRR13442587,SAMN17320838,58,07-09-2018,paired,,stool,,urban,Cape Town,,v4,
PRJNA692358,PRJNA692358,115,Gut microbiome of children from Cape Town communities,34354176,amplicon,Illumina,South Africa,,,Cross-sectional,gut,Illumina Miseq,male//CS,401,SRR13442588,SAMN17320837,57,23-08-2018,paired,,stool,,urban,Cape Town,,v4,
PRJNA692358,PRJNA692358,115,Gut microbiome of children from Cape Town communities,34354176,amplicon,Illumina,South Africa,,,Cross-sectional,gut,Illumina Miseq,male//NVD,401,SRR13442589,SAMN17320836,56,23-08-2018,paired,,stool,,urban,Cape Town,,v4,
PRJNA692358,PRJNA692358,115,Gut microbiome of children from Cape Town communities,34354176,amplicon,Illumina,South Africa,,,Cross-sectional,gut,Illumina Miseq,male//CS,400,SRR13442590,SAMN17320835,55,21-08-2018,paired,,stool,,urban,Cape Town,,v4,
PRJNA692358,PRJNA692358,115,Gut microbiome of children from Cape Town communities,34354176,amplicon,Illumina,South Africa,,,Cross-sectional,gut,Illumina Miseq,male//NVD,401,SRR13442591,SAMN17320834,54,17-08-2018,paired,,stool,,urban,Cape Town,,v4,
PRJNA692358,PRJNA692358,115,Gut microbiome of children from Cape Town communities,34354176,amplicon,Illumina,South Africa,,,Cross-sectional,gut,Illumina Miseq,female//NVD,401,SRR13442592,SAMN17320833,53,16-03-2018,paired,,stool,,urban,Cape Town,,v4,
PRJNA692358,PRJNA692358,115,Gut microbiome of children from Cape Town communities,34354176,amplicon,Illumina,South Africa,,,Cross-sectional,gut,Illumina Miseq,male//CS,401,SRR13442593,SAMN17320832,52,16-08-2018,paired,,stool,,urban,Cape Town,,v4,
PRJNA692358,PRJNA692358,115,Gut microbiome of children from Cape Town communities,34354176,amplicon,Illumina,South Africa,,,Cross-sectional,gut,Illumina Miseq,female//CS,401,SRR13442594,SAMN17320831,51,02-08-2018,paired,,stool,,urban,Cape Town,,v4,
PRJNA692358,PRJNA692358,115,Gut microbiome of children from Cape Town communities,34354176,amplicon,Illumina,South Africa,,,Cross-sectional,gut,Illumina Miseq,female//NVD,401,SRR13442595,SAMN17320786,6,08-01-2018,paired,,stool,,urban,Cape Town,,v4,
PRJNA692358,PRJNA692358,115,Gut microbiome of children from Cape Town communities,34354176,amplicon,Illumina,South Africa,,,Cross-sectional,gut,Illumina Miseq,female//NVD,401,SRR13442596,SAMN17320830,50,01-08-2018,paired,,stool,,urban,Cape Town,,v4,
PRJNA692358,PRJNA692358,115,Gut microbiome of children from Cape Town communities,34354176,amplicon,Illumina,South Africa,,,Cross-sectional,gut,Illumina Miseq,female //,400,SRR13442597,SAMN17320829,49,31-07-2018,paired,,stool,,urban,Cape Town,,v4,
PRJNA692358,PRJNA692358,115,Gut microbiome of children from Cape Town communities,34354176,amplicon,Illumina,South Africa,,,Cross-sectional,gut,Illumina Miseq,male//NVD,401,SRR13442599,SAMN17320827,47,25-07-2018,paired,,stool,,urban,Cape Town,,v4,
PRJNA692358,PRJNA692358,115,Gut microbiome of children from Cape Town communities,34354176,amplicon,Illumina,South Africa,,,Cross-sectional,gut,Illumina Miseq,female//NVD,401,SRR13442600,SAMN17320826,46,26-07-2018,paired,,stool,,urban,Cape Town,,v4,
PRJNA692358,PRJNA692358,115,Gut microbiome of children from Cape Town communities,34354176,amplicon,Illumina,South Africa,,,Cross-sectional,gut,Illumina Miseq,female//CS,401,SRR13442601,SAMN17320825,45,23-07-2018,paired,,stool,,urban,Cape Town,,v4,
PRJNA692358,PRJNA692358,115,Gut microbiome of children from Cape Town communities,34354176,amplicon,Illumina,South Africa,,,Cross-sectional,gut,Illumina Miseq,male//NVD,401,SRR13442604,SAMN17320822,42,28-06-2018,paired,,stool,,urban,Cape Town,,v4,
PRJNA692358,PRJNA692358,115,Gut microbiome of children from Cape Town communities,34354176,amplicon,Illumina,South Africa,,,Cross-sectional,gut,Illumina Miseq,female//NVD,401,SRR13442605,SAMN17320821,41,26-06-2018,paired,,stool,,urban,Cape Town,,v4,
PRJNA692358,PRJNA692358,115,Gut microbiome of children from Cape Town communities,34354176,amplicon,Illumina,South Africa,,,Cross-sectional,gut,Illumina Miseq,female//NVD,400,SRR13442606,SAMN17320785,5,18-12-2017,paired,,stool,,urban,Cape Town,,v4,
PRJNA692358,PRJNA692358,115,Gut microbiome of children from Cape Town communities,34354176,amplicon,Illumina,South Africa,,,Cross-sectional,gut,Illumina Miseq,female//NVD,401,SRR13442607,SAMN17320820,40,21-06-2018,paired,,stool,,urban,Cape Town,,v4,
PRJNA692358,PRJNA692358,115,Gut microbiome of children from Cape Town communities,34354176,amplicon,Illumina,South Africa,,,Cross-sectional,gut,Illumina Miseq,male//NVD,401,SRR13442608,SAMN17320819,39,14-06-2018,paired,,stool,,urban,Cape Town,,v4,
PRJNA692358,PRJNA692358,115,Gut microbiome of children from Cape Town communities,34354176,amplicon,Illumina,South Africa,,,Cross-sectional,gut,Illumina Miseq,male//NVD,401,SRR13442609,SAMN17320818,38,10-06-2018,paired,,stool,,urban,Cape Town,,v4,
PRJNA692358,PRJNA692358,115,Gut microbiome of children from Cape Town communities,34354176,amplicon,Illumina,South Africa,,,Cross-sectional,gut,Illumina Miseq,male//CS,401,SRR13442610,SAMN17320817,37,10-06-2018,paired,,stool,,urban,Cape Town,,v4,
PRJNA692358,PRJNA692358,115,Gut microbiome of children from Cape Town communities,34354176,amplicon,Illumina,South Africa,,,Cross-sectional,gut,Illumina Miseq,male//NVD,401,SRR13442611,SAMN17320816,36,10-06-2018,paired,,stool,,urban,Cape Town,,v4,
PRJNA692358,PRJNA692358,115,Gut microbiome of children from Cape Town communities,34354176,amplicon,Illumina,South Africa,,,Cross-sectional,gut,Illumina Miseq,female//NVD,401,SRR13442612,SAMN17320815,35,06-06-2018,paired,,stool,,urban,Cape Town,,v4,
PRJNA692358,PRJNA692358,115,Gut microbiome of children from Cape Town communities,34354176,amplicon,Illumina,South Africa,,,Cross-sectional,gut,Illumina Miseq,male//NVD,401,SRR13442613,SAMN17320814,34,09-05-2018,paired,,stool,,urban,Cape Town,,v4,
PRJNA692358,PRJNA692358,115,Gut microbiome of children from Cape Town communities,34354176,amplicon,Illumina,South Africa,,,Cross-sectional,gut,Illumina Miseq,male//CS,401,SRR13442614,SAMN17320813,33,09-05-2018,paired,,stool,,urban,Cape Town,,v4,
PRJNA692358,PRJNA692358,115,Gut microbiome of children from Cape Town communities,34354176,amplicon,Illumina,South Africa,,,Cross-sectional,gut,Illumina Miseq,male//CS,401,SRR13442616,SAMN17320811,31,23-04-2018,paired,,stool,,urban,Cape Town,,v4,
PRJNA692358,PRJNA692358,115,Gut microbiome of children from Cape Town communities,34354176,amplicon,Illumina,South Africa,,,Cross-sectional,gut,Illumina Miseq,female//NVD,401,SRR13442617,SAMN17320784,4,15-12-2017,paired,,stool,,urban,Cape Town,,v4,
PRJNA692358,PRJNA692358,115,Gut microbiome of children from Cape Town communities,34354176,amplicon,Illumina,South Africa,,,Cross-sectional,gut,Illumina Miseq,female//NVD,401,SRR13442618,SAMN17320810,30,19-04-2018,paired,,stool,,urban,Cape Town,,v4,
PRJNA692358,PRJNA692358,115,Gut microbiome of children from Cape Town communities,34354176,amplicon,Illumina,South Africa,,,Cross-sectional,gut,Illumina Miseq,male//CS,401,SRR13442619,SAMN17320809,29,16-04-2018,paired,,stool,,urban,Cape Town,,v4,
PRJNA692358,PRJNA692358,115,Gut microbiome of children from Cape Town communities,34354176,amplicon,Illumina,South Africa,,,Cross-sectional,gut,Illumina Miseq,male//NVD,401,SRR13442620,SAMN17320808,28,12-04-2018,paired,,stool,,urban,Cape Town,,v4,
PRJNA692358,PRJNA692358,115,Gut microbiome of children from Cape Town communities,34354176,amplicon,Illumina,South Africa,,,Cross-sectional,gut,Illumina Miseq,male//NVD,400,SRR13442621,SAMN17320807,27,11-04-2018,paired,,stool,,urban,Cape Town,,v4,
PRJNA692358,PRJNA692358,115,Gut microbiome of children from Cape Town communities,34354176,amplicon,Illumina,South Africa,,,Cross-sectional,gut,Illumina Miseq,male//NVD,401,SRR13442622,SAMN17320806,26,12-04-2018,paired,,stool,,urban,Cape Town,,v4,
PRJNA692358,PRJNA692358,115,Gut microbiome of children from Cape Town communities,34354176,amplicon,Illumina,South Africa,,,Cross-sectional,gut,Illumina Miseq,male//CS,401,SRR13442623,SAMN17320805,25,09-04-2018,paired,,stool,,urban,Cape Town,,v4,
PRJNA692358,PRJNA692358,115,Gut microbiome of children from Cape Town communities,34354176,amplicon,Illumina,South Africa,,,Cross-sectional,gut,Illumina Miseq,male//CS,401,SRR13442624,SAMN17320804,24,09-04-2018,paired,,stool,,urban,Cape Town,,v4,
PRJNA692358,PRJNA692358,115,Gut microbiome of children from Cape Town communities,34354176,amplicon,Illumina,South Africa,,,Cross-sectional,gut,Illumina Miseq,male//NVD,401,SRR13442625,SAMN17320803,23,04-04-2018,paired,,stool,,urban,Cape Town,,v4,
PRJNA692358,PRJNA692358,115,Gut microbiome of children from Cape Town communities,34354176,amplicon,Illumina,South Africa,,,Cross-sectional,gut,Illumina Miseq,male//NVD,401,SRR13442626,SAMN17320802,22,29-03-2018,paired,,stool,,urban,Cape Town,,v4,
PRJNA692358,PRJNA692358,115,Gut microbiome of children from Cape Town communities,34354176,amplicon,Illumina,South Africa,,,Cross-sectional,gut,Illumina Miseq,male//NVD,401,SRR13442627,SAMN17320801,21,07-03-2018,paired,,stool,,urban,Cape Town,,v4,
PRJNA692358,PRJNA692358,115,Gut microbiome of children from Cape Town communities,34354176,amplicon,Illumina,South Africa,,,Cross-sectional,gut,Illumina Miseq,female//NVD,401,SRR13442628,SAMN17320783,3,14-12-2017,paired,,stool,,urban,Cape Town,,v4,
PRJNA692358,PRJNA692358,115,Gut microbiome of children from Cape Town communities,34354176,amplicon,Illumina,South Africa,,,Cross-sectional,gut,Illumina Miseq,female//NVD,401,SRR13442629,SAMN17320800,20,06-03-2018,paired,,stool,,urban,Cape Town,,v4,
PRJNA692358,PRJNA692358,115,Gut microbiome of children from Cape Town communities,34354176,amplicon,Illumina,South Africa,,,Cross-sectional,gut,Illumina Miseq,female//NVD,401,SRR13442630,SAMN17320799,19,06-03-2018,paired,,stool,,urban,Cape Town,,v4,
PRJNA692358,PRJNA692358,115,Gut microbiome of children from Cape Town communities,34354176,amplicon,Illumina,South Africa,,,Cross-sectional,gut,Illumina Miseq,male//CS,401,SRR13442631,SAMN17320798,18,06-03-2018,paired,,stool,,urban,Cape Town,,v4,
PRJNA692358,PRJNA692358,115,Gut microbiome of children from Cape Town communities,34354176,amplicon,Illumina,South Africa,,,Cross-sectional,gut,Illumina Miseq,female//CS,401,SRR13442632,SAMN17320797,17,01-03-2018,paired,,stool,,urban,Cape Town,,v4,
PRJNA692358,PRJNA692358,115,Gut microbiome of children from Cape Town communities,34354176,amplicon,Illumina,South Africa,,,Cross-sectional,gut,Illumina Miseq,female//NVD,401,SRR13442633,SAMN17320796,16,28-02-2018,paired,,stool,,urban,Cape Town,,v4,
PRJNA692358,PRJNA692358,115,Gut microbiome of children from Cape Town communities,34354176,amplicon,Illumina,South Africa,,,Cross-sectional,gut,Illumina Miseq,male//CS,401,SRR13442635,SAMN17320794,14,28-02-2018,paired,,stool,,urban,Cape Town,,v4,
PRJNA692358,PRJNA692358,115,Gut microbiome of children from Cape Town communities,34354176,amplicon,Illumina,South Africa,,,Cross-sectional,gut,Illumina Miseq,male//NVD,401,SRR13442636,SAMN17320793,13,22-02-2018,paired,,stool,,urban,Cape Town,,v4,
PRJNA692358,PRJNA692358,115,Gut microbiome of children from Cape Town communities,34354176,amplicon,Illumina,South Africa,,,Cross-sectional,gut,Illumina Miseq,female //,400,SRR13442637,SAMN17320895,115,30-07-2019,paired,,stool,,urban,Cape Town,,v4,
PRJNA692358,PRJNA692358,115,Gut microbiome of children from Cape Town communities,34354176,amplicon,Illumina,South Africa,,,Cross-sectional,gut,Illumina Miseq,male//CS,401,SRR13442639,SAMN17320893,113,14-07-2019,paired,,stool,,urban,Cape Town,,v4,
PRJNA692358,PRJNA692358,115,Gut microbiome of children from Cape Town communities,34354176,amplicon,Illumina,South Africa,,,Cross-sectional,gut,Illumina Miseq,male//NVD,401,SRR13442641,SAMN17320891,111,02-07-2019,paired,,stool,,urban,Cape Town,,v4,
PRJNA692358,PRJNA692358,115,Gut microbiome of children from Cape Town communities,34354176,amplicon,Illumina,South Africa,,,Cross-sectional,gut,Illumina Miseq,male//NVD,401,SRR13442642,SAMN17320792,12,21-02-2018,paired,,stool,,urban,Cape Town,,v4,
PRJNA692358,PRJNA692358,115,Gut microbiome of children from Cape Town communities,34354176,amplicon,Illumina,South Africa,,,Cross-sectional,gut,Illumina Miseq,male//NVD,401,SRR13442643,SAMN17320890,110,27-06-2019,paired,,stool,,urban,Cape Town,,v4,
PRJNA692358,PRJNA692358,115,Gut microbiome of children from Cape Town communities,34354176,amplicon,Illumina,South Africa,,,Cross-sectional,gut,Illumina Miseq,male//NVD,401,SRR13442644,SAMN17320889,109,27-06-2019,paired,,stool,,urban,Cape Town,,v4,
PRJNA692358,PRJNA692358,115,Gut microbiome of children from Cape Town communities,34354176,amplicon,Illumina,South Africa,,,Cross-sectional,gut,Illumina Miseq,male//NVD,400,SRR13442645,SAMN17320888,108,24-06-2019,paired,,stool,,urban,Cape Town,,v4,
PRJNA692358,PRJNA692358,115,Gut microbiome of children from Cape Town communities,34354176,amplicon,Illumina,South Africa,,,Cross-sectional,gut,Illumina Miseq,male//CS,401,SRR13442646,SAMN17320887,107,20-06-2019,paired,,stool,,urban,Cape Town,,v4,
PRJNA692358,PRJNA692358,115,Gut microbiome of children from Cape Town communities,34354176,amplicon,Illumina,South Africa,,,Cross-sectional,gut,Illumina Miseq,male//NVD,401,SRR13442647,SAMN17320886,106,14-06-2019,paired,,stool,,urban,Cape Town,,v4,
PRJNA692358,PRJNA692358,115,Gut microbiome of children from Cape Town communities,34354176,amplicon,Illumina,South Africa,,,Cross-sectional,gut,Illumina Miseq,male//CS,401,SRR13442648,SAMN17320885,105,12-06-2019,paired,,stool,,urban,Cape Town,,v4,
PRJNA692358,PRJNA692358,115,Gut microbiome of children from Cape Town communities,34354176,amplicon,Illumina,South Africa,,,Cross-sectional,gut,Illumina Miseq,male//CS,401,SRR13442650,SAMN17320883,103,07-06-2019,paired,,stool,,urban,Cape Town,,v4,
PRJNA692358,PRJNA692358,115,Gut microbiome of children from Cape Town communities,34354176,amplicon,Illumina,South Africa,,,Cross-sectional,gut,Illumina Miseq,male//NVD,400,SRR13442651,SAMN17320882,102,06-06-2019,paired,,stool,,urban,Cape Town,,v4,
PRJNA692358,PRJNA692358,115,Gut microbiome of children from Cape Town communities,34354176,amplicon,Illumina,South Africa,,,Cross-sectional,gut,Illumina Miseq,female//NVD,401,SRR13442652,SAMN17320881,101,31-05-2019,paired,,stool,,urban,Cape Town,,v4,
PRJNA692358,PRJNA692358,115,Gut microbiome of children from Cape Town communities,34354176,amplicon,Illumina,South Africa,,,Cross-sectional,gut,Illumina Miseq,female//CS,400,SRR13442653,SAMN17320791,11,15-02-2018,paired,,stool,,urban,Cape Town,,v4,
